ghsa_id,split,severity,cwe_ids,semgrep_pro,codeql_secext
GHSA-25gx-x37c-7pph,test,medium,CWE-306,0,0
GHSA-25pw-4h6w-qwvm,test,low,CWE-863,1,0
GHSA-25wv-8phj-8p7r,test,medium,,0,0
GHSA-2767-2q9v-9326,test,high,CWE-918,0,0
GHSA-27cr-4p5m-74rj,test,medium,CWE-22;CWE-180,0,0
GHSA-2858-xg23-26fp,train,medium,CWE-918,0,0
GHSA-2ch6-x3g4-7759,train,medium,CWE-639,0,0
GHSA-2cq5-mf3v-mx44,test,high,CWE-863,0,0
GHSA-2f7j-rp58-mr42,test,low,CWE-200,0,0
GHSA-2fgq-7j6h-9rm4,test,medium,CWE-15;CWE-78,0,0
GHSA-2hh7-c75g-qj2r,test,medium,CWE-918,0,0
GHSA-2mc2-g238-722j,train,medium,CWE-78;CWE-295,0,0
GHSA-2pr2-hcv6-7gwv,test,high,,0,0
GHSA-2prf-9cw7-fq62,train,medium,CWE-20;CWE-862,0,0
GHSA-2qj5-gwg2-xwc4,train,high,CWE-77,0,0
GHSA-2qrv-rc5x-2g2h,test,medium,CWE-829,0,0
GHSA-2rgf-hm63-5qph,test,low,CWE-345;CWE-807,1,0
GHSA-2w79-r9g8-wmcr,train,medium,CWE-400;CWE-770,0,0
GHSA-2x4x-cc5g-qmmg,test,high,,1,0
GHSA-2xcp-x87w-q377,test,medium,,1,0
GHSA-33hm-cq8r-wc49,train,medium,CWE-22;CWE-284,0,0
GHSA-33rq-m5x2-fvgf,train,high,CWE-285,0,0
GHSA-354r-7mfh-7rh2,train,medium,CWE-863,0,0
GHSA-36h3-7c54-j27r,train,medium,CWE-22;CWE-59,0,0
GHSA-37gc-85xm-2ww6,train,medium,,0,0
GHSA-37v6-fxx8-xjmx,train,low,CWE-294,0,1
GHSA-39mp-545q-w789,test,medium,CWE-285,0,0
GHSA-39pp-xp36-q6mg,train,high,CWE-15;CWE-693,0,1
GHSA-3c6h-g97w-fg78,train,high,CWE-184;CWE-863,0,0
GHSA-3cvx-236h-m9fj,train,medium,CWE-285;CWE-319,0,0
GHSA-3cw3-5vxw-g2h3,test,high,,1,0
GHSA-3fqr-4cg8-h96q,test,high,CWE-352,0,1
GHSA-3h2q-j2v4-6w5r,train,medium,CWE-184;CWE-863,0,0
GHSA-3h52-cx59-c456,train,medium,CWE-400,1,0
GHSA-3hcm-ggvf-rch5,train,high,CWE-78,1,0
GHSA-3jx4-q2m7-r496,train,high,CWE-59;CWE-668,0,0
GHSA-3m3q-x3gj-f79x,test,medium,CWE-287,1,1
GHSA-3pm9-5j7m-59vc,test,low,,0,0
GHSA-3pxq-f3cp-jmxp,train,medium,CWE-59;CWE-367,0,0
GHSA-3q42-xmxv-9vfr,test,medium,CWE-269,0,0
GHSA-3qpv-xf3v-mm45,train,high,,0,0
GHSA-3vvq-q2qc-7rmp,test,high,CWE-353,0,0
GHSA-3w6x-gv34-mqpf,train,high,CWE-862,0,0
GHSA-3x3x-h76w-hp98,train,medium,CWE-184,1,1
GHSA-3xfw-4pmr-4xc5,train,medium,CWE-184,0,0
GHSA-3xv9-89fm-7h4r,test,low,,0,0
GHSA-42mx-vp8m-j7qh,train,medium,CWE-829,0,0
GHSA-43x4-g22p-3hrq,train,medium,CWE-693,0,0
GHSA-4564-pvr2-qq4h,train,high,CWE-78,0,0
GHSA-45cg-2683-gfmq,test,medium,,0,0
GHSA-474h-prjg-mmw3,train,high,CWE-269,0,0
GHSA-47q7-97xp-m272,train,medium,,0,0
GHSA-48vw-m3qc-wr99,test,high,,0,0
GHSA-48wf-g7cp-gr3m,train,medium,CWE-184;CWE-693,1,0
GHSA-49cg-279w-m73x,test,medium,,0,0
GHSA-4cqv-h74h-93j4,train,medium,CWE-287,0,0
