cwe,n,semgrep_pro_pct,semgrep_clawaudit_pct,codeql_secext_pct,codeql_clawaudit_pct
CWE-59,15,0.0,86.7,20.0,86.7
CWE-306,10,50.0,80.0,30.0,100.0
CWE-862,10,10.0,50.0,0.0,40.0
CWE-15,10,30.0,80.0,20.0,70.0
CWE-367,10,10.0,90.0,30.0,90.0
CWE-200,10,0.0,40.0,10.0,80.0
CWE-639,10,40.0,50.0,0.0,60.0
CWE-269,9,11.1,44.4,0.0,66.7
CWE-693,8,25.0,75.0,50.0,100.0
CWE-829,6,16.7,66.7,0.0,33.3
CWE-426,6,16.7,66.7,16.7,33.3
CWE-266,6,0.0,50.0,33.3,66.7
CWE-307,6,0.0,66.7,0.0,83.3
CWE-290,6,66.7,100.0,16.7,100.0
CWE-770,6,66.7,83.3,16.7,100.0
CWE-294,5,60.0,60.0,60.0,100.0
CWE-94,5,40.0,100.0,0.0,80.0
CWE-288,5,20.0,20.0,0.0,100.0
CWE-436,5,20.0,80.0,40.0,100.0
CWE-287,5,60.0,80.0,40.0,80.0
CWE-20,5,20.0,80.0,0.0,60.0
CWE-807,5,40.0,80.0,20.0,80.0
